2026-09-02 21:12:34.201 [background-preinit]  INFO org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-09-02 21:12:34.216 [main]  INFO com.example.pointapi.PointApiApplication - Starting PointApiApplication using Java 21.0.11 with PID 21224 (/Users/martin/workspace/musinsa/point-api/build/classes/java/main started by martin in /Users/martin/workspace/musinsa/point-api)
2026-09-02 21:12:34.216 [main]  INFO com.example.pointapi.PointApiApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-02 21:12:34.740 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 7890 (http)
2026-09-02 21:12:34.745 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7890"]
2026-09-02 21:12:34.745 [main]  INFO org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-09-02 21:12:34.745 [main]  INFO org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-09-02 21:12:34.762 [main]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-02 21:12:34.762 [main]  INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 534 ms
2026-09-02 21:12:34.802 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-09-02 21:12:34.875 [main]  INFO com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:mydata user=SA
2026-09-02 21:12:34.876 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-09-02 21:12:35.109 [main]  INFO org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:mydata'
2026-09-02 21:12:35.128 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7890"]
2026-09-02 21:12:35.132 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 7890 (http) with context path '/'
2026-09-02 21:12:35.135 [main]  INFO com.example.pointapi.PointApiApplication - Started PointApiApplication in 1.139 seconds (process running for 1.405)
2026-09-02 21:12:35.136 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-02 21:12:35.136 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /swagger-ui endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-02 21:22:50.633 [SpringApplicationShutdownHook]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-02 21:22:50.638 [tomcat-shutdown]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-09-02 21:22:50.641 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-09-02 21:22:50.644 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-09-02 21:22:52.140 [background-preinit]  INFO org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-09-02 21:22:52.154 [main]  INFO com.example.pointapi.PointApiApplication - Starting PointApiApplication using Java 21.0.11 with PID 22920 (/Users/martin/workspace/musinsa/point-api/build/classes/java/main started by martin in /Users/martin/workspace/musinsa/point-api)
2026-09-02 21:22:52.154 [main]  INFO com.example.pointapi.PointApiApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-02 21:22:52.499 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 7890 (http)
2026-09-02 21:22:52.503 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7890"]
2026-09-02 21:22:52.504 [main]  INFO org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-09-02 21:22:52.504 [main]  INFO org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-09-02 21:22:52.521 [main]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-02 21:22:52.522 [main]  INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 357 ms
2026-09-02 21:22:52.554 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-09-02 21:22:52.615 [main]  INFO com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:mydata user=SA
2026-09-02 21:22:52.616 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-09-02 21:22:52.838 [main]  INFO org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:mydata'
2026-09-02 21:22:52.858 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7890"]
2026-09-02 21:22:52.862 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 7890 (http) with context path '/'
2026-09-02 21:22:52.866 [main]  INFO com.example.pointapi.PointApiApplication - Started PointApiApplication in 0.851 seconds (process running for 1.033)
2026-09-02 21:22:52.867 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-02 21:22:52.867 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /swagger-ui endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
2026-09-02 21:23:20.870 [http-nio-7890-exec-1]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-09-02 21:23:20.870 [http-nio-7890-exec-1]  INFO org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-09-02 21:23:20.871 [http-nio-7890-exec-1]  INFO org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-09-02 21:23:21.076 [http-nio-7890-exec-9]  INFO org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 90 ms
2026-09-02 21:32:24.996 [SpringApplicationShutdownHook]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-09-02 21:32:25.000 [tomcat-shutdown]  INFO org.springframework.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-09-02 21:32:25.003 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-09-02 21:32:25.005 [SpringApplicationShutdownHook]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-09-02 21:32:26.468 [background-preinit]  INFO org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.3.Final
2026-09-02 21:32:26.481 [main]  INFO com.example.pointapi.PointApiApplication - Starting PointApiApplication using Java 21.0.11 with PID 24519 (/Users/martin/workspace/musinsa/point-api/build/classes/java/main started by martin in /Users/martin/workspace/musinsa/point-api)
2026-09-02 21:32:26.481 [main]  INFO com.example.pointapi.PointApiApplication - No active profile set, falling back to 1 default profile: "default"
2026-09-02 21:32:26.820 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 7890 (http)
2026-09-02 21:32:26.824 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-7890"]
2026-09-02 21:32:26.825 [main]  INFO org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-09-02 21:32:26.825 [main]  INFO org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-09-02 21:32:26.850 [main]  INFO org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-09-02 21:32:26.850 [main]  INFO org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 359 ms
2026-09-02 21:32:26.904 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2026-09-02 21:32:26.987 [main]  INFO com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:mydata user=SA
2026-09-02 21:32:26.988 [main]  INFO com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2026-09-02 21:32:27.189 [main]  INFO org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:mydata'
2026-09-02 21:32:27.209 [main]  INFO org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-7890"]
2026-09-02 21:32:27.213 [main]  INFO org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 7890 (http) with context path '/'
2026-09-02 21:32:27.216 [main]  INFO com.example.pointapi.PointApiApplication - Started PointApiApplication in 0.878 seconds (process running for 1.069)
2026-09-02 21:32:27.217 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /api-docs endpoint is enabled by default. To disable it in production, set the property 'springdoc.api-docs.enabled=false'
2026-09-02 21:32:27.217 [main]  WARN org.springdoc.core.events.SpringDocAppInitializer - SpringDoc /swagger-ui endpoint is enabled by default. To disable it in production, set the property 'springdoc.swagger-ui.enabled=false'
